epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1772.92,1.88612,2.06279,1.1942,0.45907,0.52382,0.46019,0.27932,1.40763,2.06207,1.13721,0.00333023,0.00333023,0.00333023
2,4279.96,1.74704,1.53477,1.09897,0.44046,0.52597,0.42926,0.24827,1.50254,1.97507,1.1537,0.00659759,0.00659759,0.00659759
3,6174.58,1.77514,1.48108,1.10342,0.47416,0.5236,0.44013,0.26847,1.43787,1.76772,1.13488,0.00979896,0.00979896,0.00979896
2,1370.45,1.76778,1.65707,1.13381,0.49395,0.53969,0.48256,0.29329,1.42459,1.69205,1.1488,0.00659964,0.00659964,0.00659964
3,5245.28,1.7888,1.56684,1.14279,0.41347,0.5245,0.39905,0.23403,1.47981,1.81023,1.17882,0.00980099,0.00980099,0.00980099
4,6560.74,1.77451,1.49735,1.14364,0.49576,0.53412,0.4849,0.30578,1.40372,1.58013,1.15235,0.009703,0.009703,0.009703
5,7804.43,1.71526,1.38625,1.12022,0.51469,0.55771,0.52478,0.33417,1.35474,1.50798,1.12693,0.009604,0.009604,0.009604
6,9167.72,1.67571,1.3219,1.11449,0.52148,0.57121,0.51501,0.3303,1.34597,1.47285,1.12213,0.009505,0.009505,0.009505
7,10552.3,1.65662,1.28178,1.10315,0.50352,0.56212,0.50202,0.32272,1.31746,1.45014,1.11997,0.009406,0.009406,0.009406
8,11792.9,1.62345,1.24579,1.09563,0.50681,0.58277,0.53406,0.34601,1.30839,1.42439,1.11028,0.009307,0.009307,0.009307
9,13023.2,1.62535,1.22715,1.09342,0.53457,0.58748,0.53552,0.34725,1.31187,1.43147,1.11354,0.009208,0.009208,0.009208
10,14256.8,1.59669,1.20016,1.08368,0.53905,0.58859,0.55405,0.36317,1.29466,1.38777,1.10338,0.009109,0.009109,0.009109
11,15487,1.58337,1.17515,1.08141,0.53761,0.58689,0.55797,0.36821,1.28281,1.34965,1.09752,0.00901,0.00901,0.00901
12,16723,1.5734,1.16189,1.07877,0.53298,0.58872,0.54287,0.35876,1.26786,1.36962,1.09465,0.008911,0.008911,0.008911
13,17947.5,1.56673,1.14826,1.07511,0.5573,0.56298,0.55493,0.36899,1.26672,1.35068,1.08942,0.008812,0.008812,0.008812
14,19183.9,1.55834,1.13259,1.07172,0.55332,0.58438,0.56562,0.3759,1.26196,1.33675,1.09024,0.008713,0.008713,0.008713
15,20408.4,1.54532,1.1185,1.06892,0.54806,0.58197,0.5509,0.36579,1.25726,1.34033,1.0813,0.008614,0.008614,0.008614
16,21627.8,1.53739,1.11397,1.06761,0.54941,0.58139,0.55456,0.37051,1.25036,1.33398,1.08241,0.008515,0.008515,0.008515
17,22844.7,1.52896,1.10193,1.0642,0.53288,0.59179,0.54859,0.36686,1.25018,1.33143,1.08022,0.008416,0.008416,0.008416
18,24056.8,1.53239,1.10204,1.06352,0.54793,0.58944,0.56677,0.38047,1.24234,1.33386,1.08111,0.008317,0.008317,0.008317
19,25264.4,1.5247,1.09607,1.06134,0.55228,0.59234,0.56735,0.38129,1.23961,1.33026,1.07845,0.008218,0.008218,0.008218
20,26471.2,1.51947,1.07873,1.05907,0.55114,0.5803,0.56339,0.37862,1.23358,1.31541,1.07686,0.008119,0.008119,0.008119
21,27681.1,1.51697,1.07688,1.05937,0.56642,0.57973,0.57212,0.38423,1.23223,1.30439,1.07545,0.00802,0.00802,0.00802
22,28891.8,1.51348,1.07481,1.05439,0.55447,0.59308,0.57051,0.38596,1.22649,1.28961,1.07172,0.007921,0.007921,0.007921
23,30100.5,1.5118,1.06981,1.05762,0.56011,0.58803,0.56813,0.38358,1.22013,1.2834,1.06624,0.007822,0.007822,0.007822
24,31302.3,1.49644,1.06072,1.04799,0.56245,0.59013,0.57916,0.39246,1.21742,1.27944,1.06934,0.007723,0.007723,0.007723
25,32511.4,1.50099,1.06124,1.05093,0.55927,0.59373,0.58192,0.39402,1.21843,1.27553,1.06838,0.007624,0.007624,0.007624
26,33716.9,1.4964,1.04821,1.04613,0.55249,0.5914,0.57291,0.38878,1.21131,1.2825,1.06283,0.007525,0.007525,0.007525
27,34922.6,1.50387,1.05259,1.04965,0.54494,0.59702,0.57366,0.38975,1.21426,1.29366,1.06705,0.007426,0.007426,0.007426
28,36131.2,1.49088,1.03918,1.05016,0.55245,0.59106,0.57687,0.39287,1.21008,1.27685,1.05946,0.007327,0.007327,0.007327
29,37341.6,1.47482,1.03125,1.04619,0.55507,0.59325,0.58036,0.3949,1.20811,1.26441,1.06193,0.007228,0.007228,0.007228
30,38548.5,1.48361,1.03717,1.0478,0.55968,0.60235,0.58279,0.39687,1.20325,1.26023,1.05603,0.007129,0.007129,0.007129
31,39778.2,1.47618,1.02407,1.04316,0.56741,0.59586,0.58197,0.39723,1.19961,1.26161,1.05813,0.00703,0.00703,0.00703
32,41031.1,1.4768,1.02582,1.04016,0.55322,0.60834,0.58237,0.39687,1.20138,1.26276,1.05592,0.006931,0.006931,0.006931
33,42506.8,1.47413,1.0239,1.03807,0.56421,0.58861,0.5826,0.39713,1.20227,1.26522,1.05568,0.006832,0.006832,0.006832
34,43909.8,1.47683,1.01938,1.04172,0.5601,0.60938,0.58522,0.40012,1.19789,1.2518,1.05564,0.006733,0.006733,0.006733
35,45163,1.46781,1.01337,1.03617,0.56462,0.60438,0.58627,0.40021,1.19611,1.25588,1.05271,0.006634,0.006634,0.006634
36,46429.1,1.46871,1.01202,1.0395,0.55832,0.60001,0.58117,0.39893,1.19071,1.26691,1.05555,0.006535,0.006535,0.006535
37,47710.7,1.46513,1.00799,1.03692,0.57134,0.5857,0.5852,0.40025,1.19189,1.25639,1.05136,0.006436,0.006436,0.006436
38,48989.1,1.46645,1.00697,1.03719,0.56612,0.60443,0.58762,0.40293,1.19144,1.25399,1.05365,0.006337,0.006337,0.006337
39,50310,1.46201,1.00132,1.03375,0.56334,0.59877,0.58988,0.40463,1.1908,1.24309,1.051,0.006238,0.006238,0.006238
40,1916.38,1.45205,0.98867,1.03312,0.56652,0.60423,0.58871,0.40341,1.19133,1.2414,1.0506,0.006139,0.006139,0.006139
41,1206.43,1.4094,0.94326,1.01722,0.56905,0.60843,0.59163,0.40413,1.19927,1.25101,1.05393,0.00604,0.00604,0.00604
42,4770.48,1.46069,0.99598,1.03374,0.56285,0.60141,0.58978,0.4034,1.19264,1.24131,1.04882,0.005941,0.005941,0.005941
43,6043.31,1.45872,0.98795,1.03206,0.56277,0.60851,0.59161,0.40601,1.18886,1.24818,1.04916,0.005842,0.005842,0.005842
44,7322.1,1.45107,0.98649,1.02803,0.55872,0.61874,0.58784,0.40431,1.18478,1.24062,1.04788,0.005743,0.005743,0.005743
45,8592.66,1.44782,0.9836,1.02984,0.56452,0.61391,0.59172,0.4066,1.18376,1.23873,1.04702,0.005644,0.005644,0.005644
46,9850.56,1.45446,0.98562,1.02826,0.56127,0.6124,0.58885,0.40483,1.18161,1.23778,1.04515,0.005545,0.005545,0.005545
